variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,squeeze_recent_bars,breakout_buffer_atr,close_near_high_max,body_frac_min,breakout_lookback,range_pos_threshold,squeeze_atr_q,winner_loser_ratio,return_over_dd
D18_SR12_BUF0.10_CH0.25_BF0.60_BL18_RP0.50_AQ0.25,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,18,0.5,0.25,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL18_RP0.50_AQ0.30,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,18,0.5,0.3,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL18_RP0.50_AQ0.35,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,18,0.5,0.35,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL18_RP0.55_AQ0.25,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,18,0.55,0.25,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL18_RP0.55_AQ0.30,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,18,0.55,0.3,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL18_RP0.55_AQ0.35,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,18,0.55,0.35,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL21_RP0.50_AQ0.25,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,21,0.5,0.25,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL21_RP0.50_AQ0.30,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,21,0.5,0.3,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL21_RP0.50_AQ0.35,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,21,0.5,0.35,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL21_RP0.55_AQ0.25,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,21,0.55,0.25,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL21_RP0.55_AQ0.30,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,21,0.55,0.3,11.328464177856468,5.328794308711208
D18_SR12_BUF0.10_CH0.25_BF0.60_BL21_RP0.55_AQ0.35,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.1,0.25,0.6,21,0.55,0.35,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL18_RP0.50_AQ0.25,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,18,0.5,0.25,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL18_RP0.50_AQ0.30,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,18,0.5,0.3,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL18_RP0.50_AQ0.35,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,18,0.5,0.35,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL18_RP0.55_AQ0.25,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,18,0.55,0.25,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL18_RP0.55_AQ0.30,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,18,0.55,0.3,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL18_RP0.55_AQ0.35,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,18,0.55,0.35,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL21_RP0.50_AQ0.25,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,21,0.5,0.25,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL21_RP0.50_AQ0.30,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,21,0.5,0.3,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL21_RP0.50_AQ0.35,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,21,0.5,0.35,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL21_RP0.55_AQ0.25,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,21,0.55,0.25,11.328464177856468,5.328794308711208
D18_SR12_BUF0.15_CH0.25_BF0.60_BL21_RP0.55_AQ0.30,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,12,0.15,0.25,0.6,21,0.55,0.3,11.328464177856468,5.328794308711208
