variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,squeeze_bw_q,range_expand_mult,require_volume,volume_mult,winner_loser_ratio,return_over_dd
SS_BW0.15_RE1.20_NOVOL_1.4,chase,0.03131923371871892,-0.0048979519246592496,13,326.0239974859662,315.3644032109662,7.352073297870085,73.0023757352902,-6.2059344331856,24.2588002469974,3.475365559603063,133.34471290230482,-2.077364187675563,0.15,1.2,False,1.4,11.763317276592137,6.394353027647939
SS_BW0.15_RE1.30_NOVOL_1.4,chase,0.03131923371871892,-0.0048979519246592496,13,326.0239974859662,315.3644032109662,7.352073297870085,73.0023757352902,-6.2059344331856,24.2588002469974,3.475365559603063,133.34471290230482,-2.077364187675563,0.15,1.3,False,1.4,11.763317276592137,6.394353027647939
SS_BW0.20_RE1.20_NOVOL_1.4,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,0.2,1.2,False,1.4,11.328464177856468,5.328794308711208
SS_BW0.20_RE1.30_NOVOL_1.4,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,0.2,1.3,False,1.4,11.328464177856468,5.328794308711208
SS_BW0.25_RE1.20_NOVOL_1.4,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,0.25,1.2,False,1.4,11.328464177856468,5.328794308711208
SS_BW0.25_RE1.30_NOVOL_1.4,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,0.25,1.3,False,1.4,11.328464177856468,5.328794308711208
SS_BW0.15_RE1.10_VOL_1.2,chase,0.028887612216298653,-0.0062273357550300945,13,300.3580164212233,291.09208354622325,6.447243932937174,86.13262471235994,-5.9376017003573915,22.391698734324866,2.789011643542956,109.07239323756187,-3.2573310336485637,0.15,1.1,True,1.2,14.506298849108642,4.638839682438007
SS_BW0.15_RE1.20_VOL_1.2,chase,0.028887612216298653,-0.0062273357550300945,13,300.3580164212233,291.09208354622325,6.447243932937174,86.13262471235994,-5.9376017003573915,22.391698734324866,2.789011643542956,109.07239323756187,-3.2573310336485637,0.15,1.2,True,1.2,14.506298849108642,4.638839682438007
SS_BW0.15_RE1.30_VOL_1.2,chase,0.028887612216298653,-0.0062273357550300945,13,300.3580164212233,291.09208354622325,6.447243932937174,86.13262471235994,-5.9376017003573915,22.391698734324866,2.789011643542956,109.07239323756187,-3.2573310336485637,0.15,1.3,True,1.2,14.506298849108642,4.638839682438007
SS_BW0.20_RE1.20_VOL_1.2,chase,0.028038561168177267,-0.007047409504731483,14,292.2206248342194,282.74216666421944,5.575979908579742,86.13262471235994,-6.178833218522035,20.195869047444244,2.5152131890499008,100.72247635555803,-18.8427956658169,0.2,1.2,True,1.2,13.939949771449358,3.9785627824454877
