variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,breakout_lookback,range_expand_mult,stop_atr,trail_atr,winner_loser_ratio,return_over_dd
A_L15_RE1.2_S2.0_T2.0,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,15,1.2,2.0,2.0,7.190723410016953,2.015804942060855
A_L15_RE1.2_S2.0_T2.4,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,15,1.2,2.0,2.4,7.190723410016953,2.015804942060855
A_L15_RE1.2_S2.0_T2.8,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,15,1.2,2.0,2.8,7.190723410016953,2.015804942060855
A_L15_RE1.3_S2.0_T2.0,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,15,1.3,2.0,2.0,7.190723410016953,2.015804942060855
A_L15_RE1.3_S2.0_T2.4,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,15,1.3,2.0,2.4,7.190723410016953,2.015804942060855
A_L15_RE1.3_S2.0_T2.8,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,15,1.3,2.0,2.8,7.190723410016953,2.015804942060855
A_L20_RE1.2_S2.0_T2.0,chase,0.01589968893942939,-0.008191230538336258,18,169.9558962324367,161.92667903743668,3.001046164149113,48.56953804514948,-6.224693168331594,8.995926613190926,1.387709720027813,81.37118590025386,-14.464595223866484,20,1.2,2.0,2.0,7.802720026787695,1.9410623184167903
A_L20_RE1.2_S2.0_T2.4,chase,0.01589968893942939,-0.008191230538336258,18,169.9558962324367,161.92667903743668,3.001046164149113,48.56953804514948,-6.224693168331594,8.995926613190926,1.387709720027813,81.37118590025386,-14.464595223866484,20,1.2,2.0,2.4,7.802720026787695,1.9410623184167903
A_L20_RE1.2_S2.0_T2.8,chase,0.01589968893942939,-0.008191230538336258,18,169.9558962324367,161.92667903743668,3.001046164149113,48.56953804514948,-6.224693168331594,8.995926613190926,1.387709720027813,81.37118590025386,-14.464595223866484,20,1.2,2.0,2.8,7.802720026787695,1.9410623184167903
A_L20_RE1.3_S2.0_T2.0,chase,0.01589968893942939,-0.008191230538336258,18,169.9558962324367,161.92667903743668,3.001046164149113,48.56953804514948,-6.224693168331594,8.995926613190926,1.387709720027813,81.37118590025386,-14.464595223866484,20,1.3,2.0,2.0,7.802720026787695,1.9410623184167903
