variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,body_frac_min,close_near_high_max,breakout_buffer_atr,exit_profile,winner_loser_ratio,return_over_dd
QX_B0.60_C0.25_BUF0.10_RUNNER,chase,0.01845371066095014,-0.009012141113073802,19,196.27714563234605,187.69097228234605,3.180137040015842,45.63038944158438,-6.62241264362771,9.878472225386634,1.7306541249268703,107.1354791451632,-2.571307021842555,0.6,0.25,0.1,RUNNER,6.8902969200343245,2.04764999009831
QX_B0.60_C0.25_BUF0.15_RUNNER,chase,0.01845371066095014,-0.009012141113073802,19,196.27714563234605,187.69097228234605,3.180137040015842,45.63038944158438,-6.62241264362771,9.878472225386634,1.7306541249268703,107.1354791451632,-2.571307021842555,0.6,0.25,0.15,RUNNER,6.8902969200343245,2.04764999009831
QX_B0.60_C0.30_BUF0.10_RUNNER,chase,0.01818139697167087,-0.00900674267314272,20,194.10752835090233,185.19478454090236,2.9550934479386224,46.653174469848175,-6.766018734156191,9.259739227045118,1.5916357560073426,104.63929140371948,-2.5694490823023317,0.6,0.3,0.1,RUNNER,6.895218045190119,2.018642880281917
QX_B0.60_C0.30_BUF0.15_RUNNER,chase,0.01818139697167087,-0.00900674267314272,20,194.10752835090233,185.19478454090236,2.9550934479386224,46.653174469848175,-6.766018734156191,9.259739227045118,1.5916357560073426,104.63929140371948,-2.5694490823023317,0.6,0.3,0.15,RUNNER,6.895218045190119,2.018642880281917
QX_B0.50_C0.25_BUF0.10_RUNNER,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,0.5,0.25,0.1,RUNNER,7.190723410016953,2.015804942060855
QX_B0.50_C0.25_BUF0.15_RUNNER,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,0.5,0.25,0.15,RUNNER,7.190723410016953,2.015804942060855
QX_B0.55_C0.25_BUF0.10_RUNNER,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,0.55,0.25,0.1,RUNNER,7.190723410016953,2.015804942060855
QX_B0.55_C0.25_BUF0.15_RUNNER,chase,0.01816671859428398,-0.009012141113073802,20,193.7042343000173,184.9421163050173,3.0817386042929797,45.63038944158438,-6.345730024606356,9.247105815250865,1.5888506983699293,104.38662316783444,-2.018680711022952,0.55,0.25,0.15,RUNNER,7.190723410016953,2.015804942060855
QX_B0.50_C0.30_BUF0.10_RUNNER,chase,0.017894404905004713,-0.00900674267314272,21,191.53461701857358,182.44592856357363,2.871756355278498,46.653174469848175,-6.498207883701029,8.687901360170173,1.463204795901662,101.89043542639075,-2.043226783404625,0.5,0.3,0.1,RUNNER,7.179390888196246,1.9867787450355594
QX_B0.50_C0.30_BUF0.15_RUNNER,chase,0.017894404905004713,-0.00900674267314272,21,191.53461701857358,182.44592856357363,2.871756355278498,46.653174469848175,-6.498207883701029,8.687901360170173,1.463204795901662,101.89043542639075,-2.043226783404625,0.5,0.3,0.15,RUNNER,7.179390888196246,1.9867787450355594
QX_B0.55_C0.30_BUF0.10_RUNNER,chase,0.017894404905004713,-0.00900674267314272,21,191.53461701857358,182.44592856357363,2.871756355278498,46.653174469848175,-6.498207883701029,8.687901360170173,1.463204795901662,101.89043542639075,-2.043226783404625,0.55,0.3,0.1,RUNNER,7.179390888196246,1.9867787450355594
QX_B0.55_C0.30_BUF0.15_RUNNER,chase,0.017894404905004713,-0.00900674267314272,21,191.53461701857358,182.44592856357363,2.871756355278498,46.653174469848175,-6.498207883701029,8.687901360170173,1.463204795901662,101.89043542639075,-2.043226783404625,0.55,0.3,0.15,RUNNER,7.179390888196246,1.9867787450355594
QX_B0.55_C0.20_BUF0.10_RUNNER,chase,0.017289430414803242,-0.008166609540540826,17,183.6179370865995,175.7094441015995,3.263339794918601,50.66845221977789,-6.469401416440829,10.335849653035265,1.5376904114534742,95.15395096441664,-2.8926360419557886,0.55,0.2,0.1,RUNNER,7.832015507804642,2.11708792112256
QX_B0.55_C0.20_BUF0.15_RUNNER,chase,0.017289430414803242,-0.008166609540540826,17,183.6179370865995,175.7094441015995,3.263339794918601,50.66845221977789,-6.469401416440829,10.335849653035265,1.5376904114534742,95.15395096441664,-2.8926360419557886,0.55,0.2,0.15,RUNNER,7.832015507804642,2.11708792112256
QX_B0.60_C0.20_BUF0.10_RUNNER,chase,0.017289430414803242,-0.008166609540540826,17,183.6179370865995,175.7094441015995,3.263339794918601,50.66845221977789,-6.469401416440829,10.335849653035265,1.5376904114534742,95.15395096441664,-2.8926360419557886,0.6,0.2,0.1,RUNNER,7.832015507804642,2.11708792112256
QX_B0.60_C0.20_BUF0.15_RUNNER,chase,0.017289430414803242,-0.008166609540540826,17,183.6179370865995,175.7094441015995,3.263339794918601,50.66845221977789,-6.469401416440829,10.335849653035265,1.5376904114534742,95.15395096441664,-2.8926360419557886,0.6,0.2,0.15,RUNNER,7.832015507804642,2.11708792112256
